,code,description,endTime,hour,iconCategory,latitude,longitude,magnitudeOfDelay,month,startTime,type,temperature,pressure,weather_description,id
2f3c691582d16caf818933659cc5e722,101,Stationary traffic,2024-01-12T15:16:44Z,13,6,59.3431448977,18.0508455257,3,01,2024-01-12T13:45:30Z,Feature,276.62,1011,light rain,2f3c691582d16caf818933659cc5e722
bf8418c17932e99cfd928d23bd57d323,101,Stationary traffic,2024-01-12T15:16:44Z,14,6,59.2704208565,18.0590732019,3,01,2024-01-12T14:09:00Z,Feature,276.62,1011,light rain,bf8418c17932e99cfd928d23bd57d323
eb1f443304134c2ca0b6a5206c5bc26a,115,Slow traffic,2024-01-12T15:18:44Z,14,6,59.3316301899,18.0077437679,1,01,2024-01-12T14:04:00Z,Feature,276.62,1011,light rain,eb1f443304134c2ca0b6a5206c5bc26a
f2d6ea4f6cddd64df351f9c9c3d4a16c,115,Slow traffic,2024-01-12T15:18:44Z,14,6,59.3491852517,18.0354858558,1,01,2024-01-12T14:06:00Z,Feature,276.62,1011,light rain,f2d6ea4f6cddd64df351f9c9c3d4a16c
9a8fe0a32ee1adf1888b944cb05ce263,108,Queuing traffic,2024-01-12T15:18:44Z,14,6,59.300800874,18.012017868,2,01,2024-01-12T14:14:30Z,Feature,276.62,1011,light rain,9a8fe0a32ee1adf1888b944cb05ce263
c0a3f670b0eb462aaa8d9b8df428f76d,122,Heavy traffic,2024-01-12T15:18:44Z,14,6,59.3714985394,18.0198888104,1,01,2024-01-12T14:13:30Z,Feature,276.62,1011,light rain,c0a3f670b0eb462aaa8d9b8df428f76d
df5425bf82affd679ee17530846e956d,101,Stationary traffic,2024-01-12T15:18:44Z,14,6,59.2974642021,18.0310856919,3,01,2024-01-12T14:13:30Z,Feature,276.62,1011,light rain,df5425bf82affd679ee17530846e956d
